phase,dtype,M,N,K,BM,BN,BK,mean_ms,stddev_ms,min_ms,tflops,pct_rocblas_peak,error
naive,fp16,1024,1024,1024,32,32,32,74.9589,9.4802,66.0064,0.0325,2.14,
naive,fp16,1024,1024,1024,64,64,32,71.1556,7.8086,60.6310,0.0354,2.33,
naive,fp16,1024,1024,1024,128,128,32,69.6432,3.0434,63.8998,0.0336,2.21,
naive,fp16,1024,1024,1024,128,128,64,75.4159,8.2483,66.5120,0.0323,2.12,
naive,fp16,1024,1024,1024,128,256,32,75.5058,10.7689,48.9012,0.0439,2.89,
shmem,fp16,1024,1024,1024,32,32,32,36.6374,6.6436,27.0438,0.0794,5.22,
swizzle,fp16,1024,1024,1024,64,64,32,7.2030,1.5434,5.1822,0.4144,27.24,
swizzle,fp16,1024,1024,1024,128,128,32,4.2789,1.8793,1.8743,1.1458,75.31,
swizzle,fp16,1024,1024,1024,128,128,64,3.8022,1.4484,1.9838,1.0825,71.15,
wmma,fp16,1024,1024,1024,128,128,32,4.2075,1.5859,2.0884,1.0283,67.59,
wmma,fp16,1024,1024,1024,128,256,32,3.0521,1.3255,1.5095,1.4226,93.51,
pipeline,fp16,1024,1024,1024,128,128,32,4.2003,1.9401,1.1057,1.9422,127.65,
